sale_id,sale_date,customer_name,email,region_name,product_name,category,quantity,sale_amount
32,2023-12-03,Arjun Verma,arjun.verma@example.com,Central,Laptop,Electronics,2,150000.0
50,2024-01-06,Amit Kumar,amit.kumar@example.com,Central,Laptop,Electronics,3,225000.0
54,2023-09-30,Neha Gupta,neha.gupta@example.com,Central,Laptop,Electronics,2,150000.0
147,2023-03-02,Karan Chopra,karan.chopra@example.com,Central,Laptop,Electronics,3,225000.0
217,2024-01-08,Neha Iyer,neha.iyer@example.com,Central,Laptop,Electronics,3,225000.0
241,2024-02-23,Sneha Gupta,sneha.gupta@example.com,Central,Laptop,Electronics,1,75000.0
263,2024-03-27,Pooja Patel,pooja.patel@example.com,Central,Laptop,Electronics,2,150000.0
323,2024-07-03,Rahul Chopra,rahul.chopra@example.com,Central,Laptop,Electronics,1,75000.0
332,2023-03-07,Karan Chopra,karan.chopra@example.com,Central,Laptop,Electronics,4,300000.0
374,2023-12-27,Amit Kumar,amit.kumar@example.com,Central,Laptop,Electronics,5,375000.0
377,2024-01-04,Neha Patel,neha.patel@example.com,Central,Laptop,Electronics,5,375000.0
440,2023-06-22,Rahul Singh,rahul.singh@example.com,Central,Laptop,Electronics,5,375000.0
453,2023-12-02,Karan Gupta,karan.gupta@example.com,Central,Laptop,Electronics,3,225000.0
483,2024-09-13,Rahul Singh,rahul.singh@example.com,Central,Laptop,Electronics,4,300000.0
518,2023-05-24,Priya Sharma,priya.sharma@example.com,Central,Laptop,Electronics,5,375000.0
590,2024-11-28,Karan Reddy,karan.reddy@example.com,Central,Laptop,Electronics,1,75000.0
629,2024-04-04,Priya Verma,priya.verma@example.com,Central,Laptop,Electronics,3,225000.0
644,2023-08-07,Amit Chopra,amit.chopra@example.com,Central,Laptop,Electronics,5,375000.0
675,2023-08-26,Ravi Verma,ravi.verma@example.com,Central,Laptop,Electronics,1,75000.0
719,2024-10-04,Priya Mehta,priya.mehta@example.com,Central,Laptop,Electronics,4,300000.0
730,2024-12-16,Ravi Patel,ravi.patel@example.com,Central,Laptop,Electronics,3,225000.0
753,2023-04-02,Karan Chopra,karan.chopra@example.com,Central,Laptop,Electronics,5,375000.0
815,2023-07-13,Neha Verma,neha.verma@example.com,Central,Laptop,Electronics,4,300000.0
817,2023-04-07,Amit Gupta,amit.gupta@example.com,Central,Laptop,Electronics,4,300000.0
929,2023-11-06,Karan Reddy,karan.reddy@example.com,Central,Laptop,Electronics,1,75000.0
931,2023-05-06,Simran Patel,simran.patel@example.com,Central,Laptop,Electronics,2,150000.0
5,2024-08-03,Simran Mehta,simran.mehta@example.com,West,Laptop,Electronics,4,300000.0
17,2023-01-28,Neha Verma,neha.verma@example.com,West,Laptop,Electronics,2,150000.0
46,2024-03-09,Priya Patel,priya.patel@example.com,West,Laptop,Electronics,4,300000.0
143,2024-02-28,Priya Mehta,priya.mehta@example.com,West,Laptop,Electronics,5,375000.0
144,2024-02-04,Rahul Iyer,rahul.iyer@example.com,West,Laptop,Electronics,1,75000.0
184,2023-09-25,Priya Kumar,priya.kumar@example.com,West,Laptop,Electronics,4,300000.0
208,2023-05-07,Neha Singh,neha.singh@example.com,West,Laptop,Electronics,4,300000.0
239,2023-08-04,Neha Sharma,neha.sharma@example.com,West,Laptop,Electronics,3,225000.0
248,2024-02-24,Arjun Kumar,arjun.kumar@example.com,West,Laptop,Electronics,1,75000.0
253,2023-10-28,Amit Gupta,amit.gupta@example.com,West,Laptop,Electronics,4,300000.0
301,2024-09-08,Amit Verma,amit.verma@example.com,West,Laptop,Electronics,3,225000.0
358,2024-10-29,Ravi Reddy,ravi.reddy@example.com,West,Laptop,Electronics,5,375000.0
415,2023-09-01,Ravi Reddy,ravi.reddy@example.com,West,Laptop,Electronics,5,375000.0
422,2023-07-14,Karan Reddy,karan.reddy@example.com,West,Laptop,Electronics,4,300000.0
437,2024-07-29,Pooja Singh,pooja.singh@example.com,West,Laptop,Electronics,5,375000.0
441,2024-12-23,Karan Verma,karan.verma@example.com,West,Laptop,Electronics,1,75000.0
485,2023-09-12,Arjun Singh,arjun.singh@example.com,West,Laptop,Electronics,5,375000.0
596,2023-05-15,Pooja Singh,pooja.singh@example.com,West,Laptop,Electronics,1,75000.0
603,2024-04-29,Arjun Kumar,arjun.kumar@example.com,West,Laptop,Electronics,5,375000.0
660,2023-01-17,Arjun Kumar,arjun.kumar@example.com,West,Laptop,Electronics,1,75000.0
761,2023-05-26,Rahul Singh,rahul.singh@example.com,West,Laptop,Electronics,2,150000.0
783,2024-08-16,Rahul Chopra,rahul.chopra@example.com,West,Laptop,Electronics,5,375000.0
799,2024-01-15,Amit Verma,amit.verma@example.com,West,Laptop,Electronics,1,75000.0
870,2024-12-05,Simran Patel,simran.patel@example.com,West,Laptop,Electronics,4,300000.0
896,2023-12-28,Sneha Gupta,sneha.gupta@example.com,West,Laptop,Electronics,1,75000.0
904,2023-02-28,Priya Patel,priya.patel@example.com,West,Laptop,Electronics,3,225000.0
953,2023-09-25,Rahul Reddy,rahul.reddy@example.com,West,Laptop,Electronics,3,225000.0
967,2024-04-08,Arjun Reddy,arjun.reddy@example.com,West,Laptop,Electronics,5,375000.0
982,2023-11-26,Amit Kumar,amit.kumar@example.com,West,Laptop,Electronics,1,75000.0
56,2024-10-06,Karan Reddy,karan.reddy@example.com,East,Laptop,Electronics,4,300000.0
75,2023-09-05,Priya Patel,priya.patel@example.com,East,Laptop,Electronics,4,300000.0
113,2023-09-30,Rahul Chopra,rahul.chopra@example.com,East,Laptop,Electronics,4,300000.0
340,2023-09-08,Simran Gupta,simran.gupta@example.com,East,Laptop,Electronics,4,300000.0
353,2024-05-20,Priya Sharma,priya.sharma@example.com,East,Laptop,Electronics,3,225000.0
355,2024-01-18,Neha Iyer,neha.iyer@example.com,East,Laptop,Electronics,2,150000.0
